iso3,countryName,unicefRegion,whoRegion,gaviPhase2,birthsunpd_2012wpp,siunpd_2012wpp,wbShort,bcg_cov_wuenic,bcg_Reported,bcg_recomputed,dtp1_cov_wuenic,dtp1_recomputed,dtp1_Reported,dtp3_cov_wuenic,dtp3_recomputed,dtp3_Reported,hepb3_cov_wuenic,hepb3_recomputed,hepb3_Reported,hib3_cov_wuenic,hib3_recomputed,hib3_Reported,pol3_cov_wuenic,pol3_recomputed,pol3_Reported,pcv3_cov_wuenic,pcv3_recomputed,pcv3_Reported,mcv1_cov_wuenic,mcv1_recomputed,mcv1_Reported,rotac_cov_wuenic,rotac_Reported,yfv_cov_wuenic,yfv_Reported,dtp1_dtp3_dropout
AFG,Afghanistan,ROSA,EMR,1,1098239,1000369,Low income,44,44,59,66,63,66,41,52,41,,,,,,,41,52,41,,,,39,48,39,,,,,38
AFG,Afghanistan,ROSA,EMR,1,1107514,1011314,Low income,51,51,70,74,79,74,50,65,50,,,,,,,50,66,50,,,,48,60,48,,,,,32
AFG,Afghanistan,ROSA,EMR,1,1112976,1018941,Low income,57,57,80,80,90,80,58,78,58,,,,,,,58,78,58,,,,50,65,50,,,,,28
AFG,Afghanistan,ROSA,EMR,1,1114030,1022652,Low income,60,60,86,81,110,81,58,72,58,,,,,,,58,74,58,,,,53,71,53,,,,,28
AFG,Afghanistan,ROSA,EMR,1,1110560,1022233,Low income,60,60,89,84,99,84,63,88,63,63,88,63,,,,63,88,63,,,,55,75,55,,,,,26
AFG,Afghanistan,ROSA,EMR,1,1102984,1017961,Low income,66,66,101,85,,85,64,95,64,64,95,64,,,,64,95,64,,,,59,84,59,,,,,24
AFG,Afghanistan,ROSA,EMR,1,1092181,1010589,Low income,64,64,101,84,109,84,63,97,63,63,97,63,63,97,63,63,97,63,,,,60,89,60,,,,,26
AFG,Afghanistan,ROSA,EMR,1,1079406,1001226,Low income,68,68,111,86,118,86,66,104,66,66,104,66,66,104,66,66,104,66,,,,62,95,62,,,,,24
AFG,Afghanistan,ROSA,EMR,1,1066046,991131,Low income,71,90,119,86,124,100,68,110,89,68,110,89,68,110,89,68,110,89,,,,65,101,82,,,,,20
AFG,Afghanistan,ROSA,EMR,1,1053370,981490,Low income,75,94,129,86,137,106,71,118,92,71,118,92,71,118,92,71,118,92,,,,68,109,85,,,,,18
AGO,Angola,ESARO,AFR,1,405187,341063,Middle income,0,,,0,,,0,,,,,,,,,0,,,,,,0,,,,,,,0
AGO,Angola,ESARO,AFR,1,418898,352915,Middle income,0,,,0,,,0,,,,,,,,,0,,,,,,0,,,,,,,0
AGO,Angola,ESARO,AFR,1,432971,365053,Middle income,0,,,0,,,0,,,,,,,,,0,,,,,,0,,,,,,,0
AGO,Angola,ESARO,AFR,1,447294,377412,Middle income,25,,,25,,,6,,,,,,,,,0,,,,,,26,,,,,,,76
AGO,Angola,ESARO,AFR,1,461747,389917,Middle income,28,,,28,,,8,,,,,,,,,0,,,,,,35,,,,,,,72
AGO,Angola,ESARO,AFR,1,476219,402461,Middle income,28,,,28,,,8,,,,,,,,,13,,,,,,44,,,,,,,72
AGO,Angola,ESARO,AFR,1,490634,414952,Middle income,32,,,31,,,10,,,,,,,,,15,,,,,,44,,,,,,,68
AGO,Angola,ESARO,AFR,1,505010,427379,Middle income,29,,,31,,,10,,,,,,,,,16,,,,,,55,,,,,,,68
AGO,Angola,ESARO,AFR,1,519380,439767,Middle income,32,,,33,,,12,,,,,,,,,13,,,,,,56,,,,,,,64
AGO,Angola,ESARO,AFR,1,533755,452154,Middle income,47,,,41,,,18,,,,,,,,,19,,,,,,48,,,,,,,56
AGO,Angola,ESARO,AFR,1,548144,464598,Middle income,48,,,48,,,24,,,,,,,,,23,,,,,,38,,,,,,,50
AGO,Angola,ESARO,AFR,1,562566,477174,Middle income,53,,,51,,,26,,,,,,,,,26,,,,,,39,,,,,,,50
AGO,Angola,ESARO,AFR,1,577105,490028,Middle income,47,,,45,,,21,,,,,,,,,21,,,,,,39,,,,,,,54
AGO,Angola,ESARO,AFR,1,591869,503319,Middle income,53,,,55,,,30,,,,,,,,,28,,,,,,47,,,,,,,46
AGO,Angola,ESARO,AFR,1,606960,517194,Middle income,48,,,52,,,27,,,,,,,,,28,,,,,,44,,,,,,,48
AGO,Angola,ESARO,AFR,1,622489,531831,Middle income,60,,,48,,,24,,,,,,,,,28,,,,,,46,,,,,,,50
AGO,Angola,ESARO,AFR,1,638551,547392,Middle income,65,,,53,,,28,,,,,,,,,33,,,,,,62,,,,,,,48
AGO,Angola,ESARO,AFR,1,655205,563923,Middle income,70,70,,66,,,41,,41,,,,,,,38,,38,,,,78,,78,,,37,37,38
AGO,Angola,ESARO,AFR,1,672499,581420,Middle income,61,85,,59,,,47,,47,,,,,,,47,,47,,,,62,,93,,,45,45,20
AGO,Angola,ESARO,AFR,1,690483,599871,Middle income,52,52,44,51,,,21,29,21,,,,,,,40,29,22,,,,46,45,46,,,53,53,58
AGO,Angola,ESARO,AFR,1,709358,619344,Middle income,56,56,48,44,43,44,31,30,31,,,,,,,33,32,33,,,,41,,41,,,50,29,30
AGO,Angola,ESARO,AFR,1,729348,639906,Middle income,75,75,63,57,56,57,42,40,42,,,,,,,44,43,44,,,,72,70,72,,,46,46,26
AGO,Angola,ESARO,AFR,1,750381,661374,Middle income,82,82,68,65,62,65,47,45,47,,,,,,,42,40,42,,,,74,70,74,,,46,46,28
AGO,Angola,ESARO,AFR,1,772201,683416,Middle income,62,62,61,68,64,68,46,44,46,,,,,,,45,43,45,,,,62,58,62,,,52,52,32
AGO,Angola,ESARO,AFR,1,794448,705631,Middle income,72,72,78,75,78,75,47,61,59,,,,,,,46,59,57,,,,64,67,64,,,60,60,38
AGO,Angola,ESARO,AFR,1,816457,727374,Middle income,61,61,66,62,64,62,47,49,47,,,,,,,46,47,46,,,,45,46,45,,,44,44,24
AGO,Angola,ESARO,AFR,1,837467,747961,Middle income,65,65,71,66,72,66,44,41,44,,,,,,,44,46,44,,,,48,49,48,,,43,43,34
AGO,Angola,ESARO,AFR,1,856997,767054,Middle income,88,88,96,83,115,111,83,86,83,83,,83,83,,83,83,85,83,,,,88,91,88,,,72,72,0
AGO,Angola,ESARO,AFR,1,874823,784541,Middle income,87,87,95,99,104,100,81,84,81,81,84,81,81,84,81,75,78,75,,,,79,83,79,,,61,61,18
AGO,Angola,ESARO,AFR,1,890976,800488,Middle income,83,83,92,93,97,93,73,77,73,73,77,73,73,77,73,73,76,73,,,,77,81,77,,,40,40,22
AGO,Angola,ESARO,AFR,1,905805,815253,Middle income,93,93,104,99,115,108,91,96,91,91,96,91,91,96,91,92,97,92,,,,93,98,93,,,40,40,8
AGO,Angola,ESARO,AFR,1,919918,829412,Middle income,88,88,99,99,109,101,86,92,86,86,92,86,86,92,86,85,91,85,,,,88,95,88,,,64,64,14
AGO,Angola,ESARO,AFR,1,934096,843675,Middle income,87,87,100,99,116,107,91,98,91,91,98,91,91,98,91,88,95,88,,,,97,105,97,,,63,63,8
ALB,Albania,CEE-CIS,EUR,0,80218,76644,Middle income,93,,,97,,,94,,,,,,,,,92,,,,,,90,,,,,,,4
ALB,Albania,CEE-CIS,EUR,0,80853,77307,Middle income,93,,,97,,,94,,,,,,,,,92,,,,,,90,,,,,,,4
ALB,Albania,CEE-CIS,EUR,0,81650,78123,Middle income,92,,,98,,,95,,,,,,,,,92,,,,,,93,,,,,,,4
ALB,Albania,CEE-CIS,EUR,0,82590,79081,Middle income,90,,,98,,,95,,,,,,,,,92,,,,,,96,,,,,,,4
ALB,Albania,CEE-CIS,EUR,0,83614,80129,Middle income,90,,,98,,,95,,,,,,,,,92,,,,,,96,,,,,,,4
ALB,Albania,CEE-CIS,EUR,0,84609,81163,Middle income,92,,,98,,,96,,,,,,,,,94,,,,,,96,,,,,,,2
ALB,Albania,CEE-CIS,EUR,0,85431,82048,Middle income,92,,,98,,,96,,,,,,,,,94,,,,,,96,,,,,,,2
ALB,Albania,CEE-CIS,EUR,0,85945,82650,Middle income,92,,,98,,,96,,,,,,,,,94,,,,,,96,,,,,,,2
ALB,Albania,CEE-CIS,EUR,0,86049,82864,Middle income,92,,,98,,,96,,,,,,,,,96,,,,,,96,,,,,,,2
ALB,Albania,CEE-CIS,EUR,0,85692,82641,Middle income,94,,,97,,,94,,,,,,,,,96,,,,,,96,,,,,,,4
ALB,Albania,CEE-CIS,EUR,0,84870,81967,Middle income,94,,,97,,,94,,,,,,,,,89,,,,,,88,,,,,,,4
ALB,Albania,CEE-CIS,EUR,0,83626,80878,Middle income,80,,,92,,,78,,,,,,,,,82,,,,,,80,,,,,,,16
ALB,Albania,CEE-CIS,EUR,0,82066,79473,Middle income,81,,,97,,,94,,,,,,,,,97,,,,,,87,,,,,,,4
ALB,Albania,CEE-CIS,EUR,0,80282,77839,Middle income,82,,,98,,,96,,,,,,,,,98,,,,,,76,,,,,,,2
ALB,Albania,CEE-CIS,EUR,0,78312,76010,Middle income,87,,,99,,,99,,,99,,,,,,98,,,,,,90,,,,,,,0
ALB,Albania,CEE-CIS,EUR,0,76158,73993,Middle income,97,,,98,,,97,,,88,,,,,,98,,,,,,91,,,,,,,2
ALB,Albania,CEE-CIS,EUR,0,73799,71770,Middle income,94,,,98,,,98,,,96,,,,,,99,,,,,,92,,,,,,,0
ALB,Albania,CEE-CIS,EUR,0,71216,69328,Middle income,94,94,,99,,,99,,99,97,,97,,,,99,,99,,,,95,,95,,,,,0
ALB,Albania,CEE-CIS,EUR,0,68422,66678,Middle income,87,87,,99,,,96,,96,94,,94,,,,97,,97,,,,89,,89,,,,,4
ALB,Albania,CEE-CIS,EUR,0,65461,63864,Middle income,93,93,76,98,,,97,90,97,96,86,96,,,,97,91,97,,,,85,85,85,,,,,2
ALB,Albania,CEE-CIS,EUR,0,62351,60902,Middle income,93,93,70,98,83,98,97,80,97,96,79,96,,,,97,81,97,,,,95,67,95,,,,,2
ALB,Albania,CEE-CIS,EUR,0,59101,57799,Middle income,93,93,64,97,85,97,97,86,97,96,84,96,,,,97,82,97,,,,95,52,95,,,,,0
ALB,Albania,CEE-CIS,EUR,0,55774,54610,Middle income,94,94,71,98,86,98,98,97,98,96,95,96,,,,98,97,98,,,,96,93,96,,,,,0
ALB,Albania,CEE-CIS,EUR,0,52465,51428,Middle income,95,95,80,97,83,97,97,78,97,97,,97,,,,97,78,97,,,,93,80,93,,,,,0
ALB,Albania,CEE-CIS,EUR,0,49292,48368,Middle income,97,97,82,98,84,98,97,84,97,99,85,99,,,,98,85,98,,,,96,92,96,,,,,2
ALB,Albania,CEE-CIS,EUR,0,46419,45591,Middle income,98,98,75,99,83,99,98,85,98,98,85,98,,,,97,85,97,,,,97,90,97,,,,,2
ALB,Albania,CEE-CIS,EUR,0,44010,43258,Middle income,97,97,81,98,83,98,97,85,97,98,85,98,,,,97,85,97,,,,95,86,95,,,,,2
ALB,Albania,CEE-CIS,EUR,0,42140,41448,Middle income,98,98,82,98,84,98,98,84,98,98,83,98,,,,99,84,99,,,,97,89,97,,,,,0
ALB,Albania,CEE-CIS,EUR,0,40838,40188,Middle income,99,100,81,99,82,99,99,84,99,99,84,99,,,,99,84,99,,,,98,87,98,,,,,0
ALB,Albania,CEE-CIS,EUR,0,40096,39476,Middle income,97,97,83,99,84,99,98,83,98,98,83,98,98,83,98,98,83,98,,,,97,83,97,,,,,2
ALB,Albania,CEE-CIS,EUR,0,39859,39258,Middle income,99,100,86,99,86,99,99,85,99,99,85,99,99,85,99,99,85,99,,,,99,85,99,,,,,0
ALB,Albania,CEE-CIS,EUR,0,40022,39431,Middle income,99,,,99,,,99,,,99,,,99,,,99,,,,,,99,,,,,,,0
ALB,Albania,CEE-CIS,EUR,0,40416,39833,Middle income,99,,,99,,,99,,,99,,,99,,,99,,,,,,99,,,,,,,0
AND,Andorra,Dev,EUR,0,700,603.5090942383,High income,,,,96,,,90,,90,75,,75,,,,90,,90,,,,90,,90,,,,,6
AND,Andorra,Dev,EUR,0,713,585.7247924805,High income,,,,96,,,89,,89,80,,80,55,,55,90,,90,,,,90,,90,,,,,8
AND,Andorra,Dev,EUR,0,733,581.1514892578,High income,,,,96,,,90,,90,75,,75,80,,80,95,,95,,,,97,,97,,,,,6
AND,Andorra,Dev,EUR,0,756,597.6364135742,High income,,,,99,,,98,,98,84,,84,90,,90,95,,95,,,,97,,97,,,,,2
AND,Andorra,Dev,EUR,0,781,634.8231201172,High income,,,,98,,,96,,96,84,,84,92,,92,95,,95,,,,97,,97,,,,,2
AND,Andorra,Dev,EUR,0,804,694.3262329102,High income,,,,99,,,97,,97,84,,84,92,,,95,,95,,,,98,,98,,,,,2
AND,Andorra,Dev,EUR,0,822,766.0029296875,High income,,,,99,,,99,,99,81,,,91,,91,99,,99,,,,96,,96,,,,,0
AND,Andorra,Dev,EUR,0,833,832.7865600586,High income,,,,99,,,99,,99,77,,77,95,,95,99,,99,,,,98,,98,,,,,0
AND,Andorra,Dev,EUR,0,836,880.4624633789,High income,,,,99,,,98,,98,79,,79,97,,97,98,,98,,,,94,,94,,,,,2
AND,Andorra,Dev,EUR,0,831,906.2636108398,High income,,,,97,,,93,,93,84,,84,93,,93,93,,93,,,,91,,91,,,,,4
AND,Andorra,Dev,EUR,0,819,910.4379272461,High income,,,,98,,,96,,96,91,,91,95,,95,96,,96,,,,94,,94,,,,,2
AND,Andorra,Dev,EUR,0,801,898.2313232422,High income,,,,99,,,99,,100,94,,,98,,98,99,,99,,,,98,,98,,,,,0
AND,Andorra,Dev,EUR,0,780,878.7514038086,High income,,,,99,,,99,,99,96,,96,97,,97,99,,99,,,,98,,98,,,,,0
AND,Andorra,Dev,EUR,0,756,859.0596923828,High income,,,,99,,,99,,99,96,,96,98,,98,99,,99,,,,99,,99,,,,,0
AND,Andorra,Dev,EUR,0,731,847.2874145508,High income,,,,99,,,99,,100,99,,99,99,,99,99,,100,,,,99,,99,,,,,0
AND,Andorra,Dev,EUR,0,707,834.4488525391,High income,,,,99,,,99,,99,97,,97,98,,98,99,,99,,,,98,,98,,,,,0
ARE,United Arab Emirates,MENA,EMR,0,29358,28340,High income,15,,,32,,,11,,,,,,,,,11,,,,,,34,,,,,,,66
ARE,United Arab Emirates,MENA,EMR,0,32050,31009,High income,18,,,70,,,45,,,,,,,,,45,,,,,,42,,,,,,,36
ARE,United Arab Emirates,MENA,EMR,0,34647,33594,High income,28,,,68,,,43,,,,,,,,,46,,,,,,41,,,,,,,36
ARE,United Arab Emirates,MENA,EMR,0,37085,36028,High income,37,,,74,,,50,,,,,,,,,50,,,,,,51,,,,,,,32
ARE,United Arab Emirates,MENA,EMR,0,39304,38253,High income,42,,,81,,,59,,,,,,,,,59,,,,,,53,,,,,,,28
ARE,United Arab Emirates,MENA,EMR,0,41248,40212,High income,60,,,91,,,76,,,,,,,,,74,,,,,,60,,,,,,,16
ARE,United Arab Emirates,MENA,EMR,0,42883,41871,High income,78,,,92,,,78,,,,,,,,,77,,,,,,67,,,,,,,16
ARE,United Arab Emirates,MENA,EMR,0,44232,43248,High income,92,,,93,,,80,,,,,,,,,80,,,,,,71,,,,,,,14
ARE,United Arab Emirates,MENA,EMR,0,45326,44374,High income,93,,,94,,,82,,,,,,,,,82,,,,,,74,,,,,,,12
ARE,United Arab Emirates,MENA,EMR,0,46182,45266,High income,96,,,94,,,84,,,,,,,,,85,,,,,,78,,,,,,,10
ARE,United Arab Emirates,MENA,EMR,0,46801,45922,High income,96,,,95,,,85,,,,,,,,,85,,,,,,80,,,,,,,10
ARE,United Arab Emirates,MENA,EMR,0,47178,46340,High income,96,,,95,,,85,,,,,,,,,85,,,,,,82,,,,,,,10
ARE,United Arab Emirates,MENA,EMR,0,47362,46565,High income,98,,,95,,,86,,,,,,,,,86,,,,,,85,,,,,,,10
ARE,United Arab Emirates,MENA,EMR,0,47431,46674,High income,98,,,96,,,90,,,90,,,,,,90,,,,,,90,,,,,,,6
ARE,United Arab Emirates,MENA,EMR,0,47475,46758,High income,98,,,96,,,90,,,90,,,,,,90,,,,,,90,,,,,,,6
ARE,United Arab Emirates,MENA,EMR,0,47501,46824,High income,98,,,96,,,90,,,90,,,,,,90,,,,,,90,,,,,,,6
ARE,United Arab Emirates,MENA,EMR,0,47480,46841,High income,98,,,96,,,90,,,90,,,,,,90,,,,,,90,,,,,,,6
ARE,United Arab Emirates,MENA,EMR,0,47491,46887,High income,98,98,,97,,,92,,92,90,,90,,,,92,,92,,,,95,,95,,,,,6
ARE,United Arab Emirates,MENA,EMR,0,47706,47135,High income,98,98,,97,,,94,,94,96,,96,,,,94,,94,,,,95,,95,,,,,4
ARE,United Arab Emirates,MENA,EMR,0,48367,47819,High income,98,98,101,96,,,94,98,94,92,96,92,94,98,94,94,98,94,,,,96,100,96,,,,,2
ARE,United Arab Emirates,MENA,EMR,0,49912,49380,High income,98,98,108,96,107,96,94,104,94,92,102,92,92,102,92,94,104,94,,,,94,104,94,,,,,2
ARE,United Arab Emirates,MENA,EMR,0,52824,52294,High income,98,98,108,96,107,96,94,104,94,92,102,92,92,102,92,94,104,94,,,,94,104,94,,,,,2
ARE,United Arab Emirates,MENA,EMR,0,57301,56759,High income,98,98,101,96,100,96,94,98,94,92,96,92,94,98,94,94,98,94,,,,94,98,94,,,,,2
ARE,United Arab Emirates,MENA,EMR,0,63345,62782,High income,98,98,94,96,93,96,94,91,94,92,89,92,94,91,94,94,91,94,,,,94,91,94,,,,,2
ARE,United Arab Emirates,MENA,EMR,0,70806,70213,High income,98,98,82,96,81,96,94,79,94,92,78,92,94,79,94,94,79,94,,,,94,79,94,,,,,2
ARE,United Arab Emirates,MENA,EMR,0,79470,78843,High income,98,98,78,97,78,97,94,75,94,92,74,92,94,75,94,94,75,94,,,,92,74,92,,,,,4
ARE,United Arab Emirates,MENA,EMR,0,89022,88358,High income,98,98,,97,,97,92,,92,92,,92,92,,92,94,,94,,,,92,,92,,,,,6
ARE,United Arab Emirates,MENA,EMR,0,98858,98160,High income,98,98,,97,,97,92,,92,92,,92,92,,92,94,,94,,,,92,,92,,,,,6
ARE,United Arab Emirates,MENA,EMR,0,108322,107593,High income,98,98,,96,,,92,,92,92,,92,92,,92,94,,94,,,,92,,92,,,,,4
ARE,United Arab Emirates,MENA,EMR,0,116864,116112,High income,98,,,95,,,93,,,93,,,93,,,94,,,,,,93,,,,,,,2
ARE,United Arab Emirates,MENA,EMR,0,123820,123055,High income,98,98,,94,,94,94,,94,94,,94,94,,94,94,,94,94,,94,94,,94,,,,,0
ARE,United Arab Emirates,MENA,EMR,0,128632,127864,High income,96,,,94,,,94,,,94,,,94,,,94,,,94,,,94,,,,,,,0
ARE,United Arab Emirates,MENA,EMR,0,131217,130458,High income,94,94,21,94,25,111,94,26,120,94,24,109,94,27,120,94,26,118,94,27,121,94,25,111,,,,,0
ARG,Argentina,TACRO,AMR,0,692003,667564,Middle income,62,,,69,,,44,,,,,,,,,33,,,,,,61,,,,,,,36
ARG,Argentina,TACRO,AMR,0,688694,665300,Middle income,70,,,73,,,49,,,,,,,,,40,,,,,,77,,,,,,,32
ARG,Argentina,TACRO,AMR,0,684883,662487,Middle income,77,,,80,,,58,,,,,,,,,48,,,,,,67,,,,,,,28
ARG,Argentina,TACRO,AMR,0,682384,660887,Middle income,70,,,82,,,61,,,,,,,,,79,,,,,,67,,,,,,,26
ARG,Argentina,TACRO,AMR,0,681988,661269,Middle income,78,,,83,,,62,,,,,,,,,72,,,,,,79,,,,,,,26
ARG,Argentina,TACRO,AMR,0,684054,663986,Middle income,90,,,86,,,66,,,,,,,,,73,,,,,,54,,,,,,,24
ARG,Argentina,TACRO,AMR,0,688342,668800,Middle income,99,,,86,,,67,,,,,,,,,79,,,,,,87,,,,,,,22
ARG,Argentina,TACRO,AMR,0,693729,674623,Middle income,94,,,91,,,75,,,,,,,,,85,,,,,,80,,,,,,,18
ARG,Argentina,TACRO,AMR,0,699207,680475,Middle income,91,,,93,,,80,,,,,,,,,90,,,,,,87,,,,,,,14
ARG,Argentina,TACRO,AMR,0,704346,685944,Middle income,92,,,93,,,80,,,,,,,,,86,,,,,,89,,,,,,,14
ARG,Argentina,TACRO,AMR,0,708734,690624,Middle income,99,,,95,,,87,,,,,,,,,90,,,,,,93,,,,,,,8
ARG,Argentina,TACRO,AMR,0,712081,694232,Middle income,99,,,93,,,80,,,,,,,,,86,,,,,,99,,,,,,,14
ARG,Argentina,TACRO,AMR,0,714346,696740,Middle income,99,,,93,,,81,,,,,,,,,85,,,,,,92,,,,,,,12
ARG,Argentina,TACRO,AMR,0,715508,698149,Middle income,99,,,93,,,81,,,,,,,,,82,,,,,,95,,,,,,,12
ARG,Argentina,TACRO,AMR,0,715479,698404,Middle income,99,,,94,,,82,,,,,,,,,85,,,,,,96,,,,,,,12
ARG,Argentina,TACRO,AMR,0,714088,697389,Middle income,99,,,95,,,85,,,,,,,,,90,,,,,,99,,,,,,,10
ARG,Argentina,TACRO,AMR,0,711203,695032,Middle income,99,,,94,,,83,,,,,,,,,90,,,,,,99,,,,,,,12
ARG,Argentina,TACRO,AMR,0,707052,691572,Middle income,99,117,,96,,,88,,88,,,,,,,92,,92,,,,93,,93,,,,,8
ARG,Argentina,TACRO,AMR,0,702019,687377,Middle income,99,115,,96,,,84,,84,,,,49,,49,90,,90,,,,95,,111,,,,,12
ARG,Argentina,TACRO,AMR,0,696516,682825,Middle income,99,110,,96,,,86,,86,,,,86,,86,91,,91,,,,97,,97,,,,,10
ARG,Argentina,TACRO,AMR,0,691184,678484,Middle income,99,99,111,96,91,,83,68,83,,,,83,68,83,88,88,88,,,,91,57,91,,,,,14
ARG,Argentina,TACRO,AMR,0,686704,674948,Middle income,99,99,75,96,98,,83,880,83,,,,83,,83,85,94,85,,,,89,100,89,,,,,14
ARG,Argentina,TACRO,AMR,0,683504,672573,Middle income,99,100,,96,,,93,,93,66,,66,87,,66,94,,94,,,,95,,95,,,,,4
ARG,Argentina,TACRO,AMR,0,681823,671550,Middle income,99,100,,96,,,96,,96,90,,90,90,,90,95,,95,,,,97,,97,,,,,0
ARG,Argentina,TACRO,AMR,0,681716,671921,Middle income,99,100,135,96,,96,93,,93,94,93,94,94,,94,91,101,91,,,,99,,99,,,,,4
ARG,Argentina,TACRO,AMR,0,683029,673548,Middle income,99,100,139,99,97,93,98,99,98,88,94,88,88,99,88,95,99,95,,,,99,108,100,,,,,2
ARG,Argentina,TACRO,AMR,0,685390,676099,Middle income,99,100,107,93,98,93,91,97,91,84,89,84,84,97,84,92,97,92,,,,97,,97,,,,,2
ARG,Argentina,TACRO,AMR,0,688158,679006,Middle income,99,100,104,94,95,94,91,94,91,85,91,85,85,94,85,92,92,92,,,,94,96,94,,,,,4
ARG,Argentina,TACRO,AMR,0,690765,681757,Middle income,99,104,108,97,100,97,94,95,94,90,92,90,90,95,90,94,97,94,,,,96,100,96,,,,,4
ARG,Argentina,TACRO,AMR,0,692896,684065,Middle income,99,100,105,94,,94,94,100,94,93,100,93,93,100,93,97,102,97,,,,99,105,100,,,8,,0
ARG,Argentina,TACRO,AMR,0,694324,685713,Middle income,99,100,117,95,,95,94,101,94,94,101,94,94,101,94,95,101,95,,,,98,107,104,,,14,,2
ARG,Argentina,TACRO,AMR,0,694972,686619,Middle income,99,107,113,94,90,94,92,99,92,92,99,92,92,99,92,93,99,93,,,,95,101,95,,,12,87,2
ARG,Argentina,TACRO,AMR,0,694988,686909,Middle income,99,100,111,94,101,94,91,93,91,91,93,91,91,93,91,90,97,90,22,44,22,94,100,94,,,8,88,4
ARM,Armenia,CEE-CIS,EUR,1,66563,63610,Middle income,88,,,95,,,85,,,,,,,,,92,,,,,,93,,,,,,,10
ARM,Armenia,CEE-CIS,EUR,1,61883,59218,Middle income,84,,,95,,,85,,,,,,,,,92,,,,,,95,,,,,,,10
